,ticker,positive,negative,net positive percentage
0,ida,0,2,-50.0
0,ew,2,4,-22.22222222222222
0,ftnt,3,4,-6.666666666666665
0,anss,2,7,-27.77777777777778
0,anat,0,0,0.0
0,msi,0,8,-53.333333333333336
0,navi,3,13,-62.5
0,site,0,4,-66.66666666666666
0,swks,5,9,-19.047619047619047
0,csgp,6,9,-17.64705882352941
0,mdu,2,12,-55.55555555555556
0,wba,3,15,-41.379310344827594
0,dci,0,0,0.0
0,lly,1,13,-63.1578947368421
0,mrcy,4,9,-29.411764705882355
0,qlys,5,4,7.142857142857145
0,isrg,3,4,-5.263157894736842
0,wtrg,2,1,25.0
0,pep,3,17,-51.85185185185186
0,nbix,1,4,-50.0
0,axs,4,4,0.0
0,aciw,1,12,-73.33333333333334
0,saic,2,5,-27.27272727272727
0,cost,8,12,-13.793103448275861
0,u,10,7,14.285714285714285
0,bros,5,12,-27.999999999999996
0,pypl,7,11,-16.666666666666664
0,amrc,4,1,37.5
0,vrsk,2,6,-26.66666666666667
0,eqix,4,5,-7.6923076923076925
0,chgg,6,8,-10.000000000000004
0,jazz,1,11,-55.55555555555556
0,ale,2,1,20.0
0,adbe,1,16,-62.5
0,itgr,2,3,-16.666666666666668
0,it,1,8,-38.888888888888886
0,man,2,2,0.0
0,pega,0,4,-50.0
0,acn,2,6,-22.22222222222222
0,sji,0,0,0.0
0,novt,1,7,-75.0
0,tmo,1,6,-33.333333333333336
0,form,3,6,-27.27272727272727
0,apo,5,11,-30.000000000000004
0,dte,1,6,-41.66666666666667
0,aqua,2,9,-41.17647058823529
0,wec,1,4,-25.0
0,cnm,0,5,-62.5
0,avtr,0,3,-50.0
0,avy,3,4,-8.333333333333332
0,osk,3,9,-42.85714285714286
0,lvs,5,6,-4.999999999999999
0,kfy,4,1,37.5
0,syy,0,11,-78.57142857142857
0,iqv,1,4,-23.076923076923077
0,clf,0,0,0.0
0,ea,3,10,-33.33333333333333
0,gtlb,5,9,-22.22222222222222
0,ugi,4,4,0.0
0,rgen,3,5,-18.181818181818183
0,ncno,1,7,-42.85714285714286
0,jnpr,6,2,23.529411764705884
0,cw,1,9,-61.53846153846154
0,vrtx,0,15,-50.0
0,ori,4,8,-22.22222222222222
0,lh,3,7,-30.769230769230766
0,otex,2,12,-66.66666666666667
0,psn,0,3,-37.5
0,logi,8,5,17.64705882352941
0,br,3,6,-17.647058823529413
0,nwe,0,4,-66.66666666666666
0,lgf-a,0,0,0.0
0,jxn,0,0,0.0
0,cfg,5,10,-26.31578947368421
0,pnr,1,5,-44.44444444444445
0,slm,4,12,-47.05882352941177
0,qrvo,4,7,-20.0
0,enph,3,6,-18.75
0,mlm,2,4,-15.384615384615385
0,gtls,1,4,-33.33333333333333
0,fmc,1,3,-15.384615384615385
0,coup,0,0,0.0
0,g,4,6,-15.384615384615385
0,vrnt,3,3,0.0
0,cold,0,1,-25.0
0,fls,2,6,-28.57142857142857
0,dpz,12,6,30.0
0,rezi,5,9,-22.22222222222222
0,lcii,3,3,0.0
0,rnr,8,1,53.846153846153854
